id;name;category;stock;unit;price;cost_price;expiry_date;supplier;branch_id;created_at;updated_at;deleted_at
1529;Amoxicillin;Antibiotik;0;box;75000;;12/29/2026;PT. Vet Pharma;77;12/29/2025 17:32;1/17/2026 07:47;1/17/2026 07:47
1530;Carprofen;Obat Anti-inflamasi;0;botol;125000;;10/29/2026;PT. Medivet;77;12/29/2025 17:32;1/17/2026 07:47;1/17/2026 07:47
1531;Ivermectin;Antiparasit;0;botol;90000;;5/29/2027;PT. Vet Pharma;77;12/29/2025 17:32;1/17/2026 07:47;1/17/2026 07:47
1532;Vitamin B Complex;Vitamin;0;botol;40000;;8/29/2027;PT. Vet Pharma;77;12/29/2025 17:32;1/17/2026 07:47;1/17/2026 07:47
1547;Kateter;Alat Medis;4;pcs;50000;45000;6/8/2029;;77;1/8/2026 12:34;1/17/2026 08:09;1/17/2026 08:09
1582;INTERTRIM;Antibiotik injeksi;100;ml;135000;133700;8/1/2028;0;77;1/17/2026 07:54;1/30/2026 10:05;
1583;GLUCORTIN;Anti Radang;50;ml;13500;1060;5/1/2028;0;77;1/17/2026 08:05;1/17/2026 08:41;
1584;B COMPLEK WONDER;Multivitamin injeksi;99;ml;13000;285;3/1/2030;0;77;1/17/2026 08:08;1/20/2026 05:53;
1585;AMOXICILLIN;Antibiotik;240;tablet;10000;604;10/10/2027;0;77;1/17/2026 09:24;1/17/2026 09:31;
1586;AMOX-CLAV;Antibiotik;17;tablet;10000;4433;10/10/2027;;77;1/17/2026 09:26;1/20/2026 04:41;
1587;DOXIHAT;Antibiotik;10;tablet;10000;523;10/10/2027;;77;1/17/2026 09:28;1/17/2026 09:28;
1588;CEFIXINE;Antibiotik;20;tablet;10000;1450;10/10/2027;;77;1/17/2026 09:30;1/17/2026 09:30;
1589;CLINDAMYCIN;Antibiotik;10;tablet;10000;1980;10/10/2027;;77;1/17/2026 09:32;1/17/2026 09:32;
1590;FASIPRIM;Antibiotik;90;tablet;10000;400;10/10/2027;;77;1/17/2026 09:33;1/17/2026 09:33;
1591;CEFADROXIL;Antibiotik;15;tablet;10000;1740;10/10/2027;;77;1/17/2026 09:33;1/17/2026 09:33;
1592;DEXTEEM PLUS;Anti Radang;90;tablet;10000;353;10/10/2027;;77;1/17/2026 09:34;1/17/2026 09:34;
1593;METHYLPREDNISOLONE;Anti Radang;90;tablet;10000;557;10/10/2027;;77;1/17/2026 09:35;1/17/2026 09:35;
1594;DEXAMETHASONE;Anti Radang;69;tablet;10000;104;10/10/2027;;77;1/17/2026 09:36;1/20/2026 04:41;
1595;METRONIDAZOLE;Antibiotik;20;tablet;10000;500;10/10/2027;;77;1/17/2026 09:37;1/17/2026 09:37;
1596;METHYLPREDNISOLONE 4MG;Anti Radang;60;tablet;10000;385;10/10/2027;;77;1/17/2026 09:38;1/17/2026 09:38;
1597;MELOXICAM;Aksesoris Hewan;50;tablet;10000;1000;10/10/2027;;77;1/17/2026 09:40;1/17/2026 09:40;
1598;CEFTIRIZINE;Obat Antihistamin;100;tablet;10000;92;10/10/2027;;77;1/17/2026 09:41;1/17/2026 09:41;
1599;CTM;Obat Antihistamin;100;tablet;10000;108;10/10/2027;;77;1/17/2026 09:42;1/17/2026 09:42;
1600;ONDANSENTRON;Obat Anti Muntah;100;tablet;10000;1134;10/10/2027;;77;1/17/2026 09:43;1/17/2026 09:43;
1601;RANITIDINE;Obat Anti Muntah;80;tablet;10000;255;10/10/2027;;77;1/17/2026 09:43;1/17/2026 09:43;
1602;SANGOBION;Suplemen Penambah Darah;3;tablet;10000;2350;10/10/2027;;77;1/17/2026 09:45;1/17/2026 09:45;
1603;KALNEX (TRANEXAMIC ACID);Obat Anti Pendarahan;6;tablet;3000;3400;10/10/2027;;77;1/17/2026 09:45;1/17/2026 09:45;
1604;MIRAVON (BROMHEXINE HCL);Obat Mukolitik;10;tablet;10000;400;10/10/2027;;77;1/17/2026 09:48;1/17/2026 09:48;
1605;GABAPENTIN;Obat Anti Convulsant;8;tablet;10000;7546;10/10/2027;;77;1/17/2026 09:53;1/17/2026 09:53;
1606;MOVFOR (MOLNUVILAPIR);Aksesoris Hewan;10;tablet;30000;23310;10/10/2027;;77;1/17/2026 09:55;1/17/2026 09:55;
1607;MIRZAP (MIRTAZAPINE);Obat;10;tablet;30000;19500;10/10/2027;;77;1/17/2026 09:57;1/17/2026 09:57;
1608;NORIT;Obat Anti Diare;40;tablet;10000;100;10/10/2027;;77;1/17/2026 09:58;1/17/2026 09:58;
1609;PYRANTEL PAMOATE;Obat Cacing;80;tablet;10000;550;10/10/2027;;77;1/17/2026 09:59;1/17/2026 09:59;
1615;RANITIDINE;Obat Anti Muntah;50;ml;10000;500;10/10/2027;;77;1/19/2026 04:14;1/19/2026 04:14;
1616;ONDANSENTRON;Obat Anti Muntah;50;ml;10000;500;10/10/2027;;77;1/19/2026 04:15;1/19/2026 04:15;
1617;HEMATODIN;Suplemen Penambah Darah;50;ml;10000;500;10/10/2027;;77;1/19/2026 04:16;1/19/2026 04:16;
1623;TOLFEDINE;Obat Anti Piretik;49;ml;10000;500;12/10/2027;;77;1/20/2026 05:42;1/20/2026 05:53;
2054;KETAMINE;Obat Anestesi;50;ml;250000;34000;2/18/2028;0;77;4/18/2026 09:16;4/18/2026 09:24;
