id;name;description;price;hpp;branch_id;is_active;created_at;updated_at;category
1847;JASA DOKTER;PEMERIKSAAN AWAL DAN KONSULTASI KESEHATAN HEWAN ;45000;0;77;1;12/29/2025 17:32;4/18/2026 03:54;
1997;OP OVARIOHISTEREKTOMI KUCING;KOMP (TINDAKAN OH 450rb + JS MEDIS RI 45rb) MAKS BB 3kg ;495000;0;77;1;1/8/2026 12:30;4/18/2026 03:08;
1998;OP KASTRASI KUCING;KOMP (T. KASTRASI 300rb + JS MEDIS RI 45rb) MAKS BB 3kg ;345000;0;77;1;1/8/2026 12:31;4/18/2026 03:08;
1999;JASA PEMASANGAN INFUS;KOMP (JS PEMASANGAN INFUS 130rb + BOTOL INFUS 20rb) ;150000;0;77;1;1/8/2026 12:31;4/18/2026 03:06;
2000;VAKSINASI FELOCELL 3;VAKSIN KCG PERTAMA (HPP Rp 108.000)  ;200000;0;77;1;1/8/2026 12:31;4/18/2026 03:18;
2001;VAKSINASI FELOCELL 4;VAKSIN KEDUA/TAHUNAN KCG (HPP Rp 130.000);250000;0;77;1;1/8/2026 12:32;4/18/2026 03:10;
2002;VAKSINASI VANGUARD 5L;VAKSIN ANJING (HPP Rp 108.000)     ;200000;0;77;1;1/8/2026 12:32;4/18/2026 06:32;
2003;VAKSINASI RABIES;HPP Rp 92.000;100000;0;77;1;1/8/2026 12:33;4/18/2026 03:10;
2146;CEK HEMATOLOGI RUTIN KUCING;HPP Rp 100.000;150000;0;77;1;1/20/2026 05:38;4/18/2026 03:14;
2174;INPUT REKAM MEDIS LAMA;;0;0;77;1;1/21/2026 09:25;1/21/2026 09:25;
2972;BOTOL INFUS;TAMBAHAN PER BOTOL (HPP Rp 10.000);20000;0;77;1;4/18/2026 03:13;4/18/2026 03:13;
2973;CEK HEMATOLOGI REPTIL;CEK HEMATOLOGI RUTIN REPTIL (HPP Rp 159.000);250000;0;77;1;4/18/2026 03:14;4/18/2026 03:14;
2974;CEK KIMIA DARAH;CEK DARAH LENGKAP  (HPP Rp 400.000);450000;0;77;1;4/18/2026 03:18;4/18/2026 03:18;
2975;ENBATIC;OBAT LUAR ANTIBIOTIK SERBUK (HPP Rp 4.000);10000;0;77;1;4/18/2026 03:33;4/18/2026 03:33;
2976;ERLAMYCETIN TETES MATA;OBAT TETES MATA ANTIBIOTIK  (HPP Rp 9.500);20000;0;77;1;4/18/2026 03:34;4/18/2026 03:34;
2977;ERLAMYCETIN TETES TELINGA;OBAT TETES TELINGA ANTIBIOTIK (HPP Rp 10.500);20000;0;77;1;4/18/2026 03:34;4/18/2026 03:34;
2978;FLOXA TETES MATA;OBAT TETES MATA ANTIBIOTIK (HPP Rp 9.000);20000;0;77;1;4/18/2026 03:35;4/18/2026 03:35;
2979;FUROSEMIDE (STRIP);HPP Rp 4.500;40000;0;77;1;4/18/2026 03:40;4/18/2026 03:40;
2980;ANASTESI BB 0 - 1 Kg;OBAT BIUS UMUM (KETAMIN + XYLAZINE) 0 - 1 kg (HPP Rp 25.000);50000;0;77;1;4/18/2026 03:42;4/18/2026 03:48;
2981;ANASTESI BB 1,1 - 3 Kg;OBAT BIUS UMUM (KETAMIN + XYLAZINE) BB 1,1 - 3 Kg (HPP Rp 25.000);100000;0;77;1;4/18/2026 03:42;4/18/2026 03:48;
2982;ANASTESI BB 3,1 - 6 Kg;OBAT BIUS UMUM (KETAMIN + XYLAZINE) BB 3,1 - 6 Kg (HPP Rp 25.000);150000;0;77;1;4/18/2026 03:48;4/18/2026 03:48;
2983;ANASTESI BB 6,1 - 8 kg;OBAT BIUS UMUM (KETAMIN + XYLAZINE) BB 6,1 - 8 Kg (HPP Rp 25.000);250000;0;77;1;4/18/2026 03:49;4/18/2026 03:49;
2984;OBAT BIUS LOKAL BB 0 - 3 Kg;ANASTESI LOKAL (LIDO + CASTRAN) BB 0-3 Kg (HPP Rp 25.000);100000;0;77;1;4/18/2026 03:51;4/18/2026 03:51;
